下午 01:47:01  [main] 	Initialisere Control Panel
下午 01:47:01  [main] 	Windows Version: Windows 8.1  64-bit
下午 01:47:01  [main] 	XAMPP Version: 7.0.13
下午 01:47:01  [main] 	Control Panel Version: 3.2.2  [ Compiled: Nov 12th 2015 ]
下午 01:47:01  [main] 	Dein Benutzerprofil besitzt keine Administratorenrechte! Das reicht aus fur die meisten
下午 01:47:01  [main] 	Anwendungsfunktionen, aber wann immer du etwas mit Windows-Diensten tun mochtest,
下午 01:47:01  [main] 	wird eine Sicherheitsabfrage erscheinen oder etwas wird garnicht erst funktionieren!
下午 01:47:01  [main] 	Also denke daran diese Anwendung mit Administratorrechten zu starten!
下午 01:47:01  [main] 	XAMPP Installationsverzeichnis: "d:\xampp\"
下午 01:47:01  [main] 	Voraussetzungen werden gepruft
下午 01:47:19  [main] 	Alle Voraussetzungen sind erfullt
下午 01:47:19  [main] 	Initialisiere Module
下午 01:47:19  [main] 	Starte Check-Timer
下午 01:47:19  [main] 	Control Panel bereit
下午 01:47:57  [main] 	Deinitialisiere Module
下午 01:47:57  [main] 	Deinitialisiere Control Panel

